Species,Group,Family,Low.Mobility,Detri.,Mono.,Olig.,Poly.,Poll.,Pred.,Mass,Grassland_specialist
Apteropeda_orbiculata,Coleoptera,Chrysomelidae,1,0,0,0,1,0,0,0.336436156,0
Trachyphloeus_aristatus,Coleoptera,Curculionidae,1,0,0,0,1,0,0,0.175465008,0
Athous_haemorrhoidalis,Coleoptera,Elateridae,0,0,0,0,1,0,0,22.81413848,0
Dolycoris_baccarum,Heteroptera,Pentatomidae,0,0,0,0,1,0,0,18.33699561,0
Harpalus_rubripes,Coleoptera,Carabidae,0,0,0,0,1,0,0,10.81172064,0
Aphantopus_hyperantus,Lepidoptera,Satyridae,1,0,0,1,0,1,0,733.1557198,0
Lycaena_phlaeas,Lepidoptera,Lycaenidae,0,0,0,1,0,1,0,246.4151907,0
Centromerita_bicolor,Araneae,Linyphiidae,0,0,0,0,0,0,1,0.642381141,0
Demetrias_atricapillus,Coleoptera,Carabidae,0,0,0,0,0,0,1,2.292073815,0
Microlinyphia_pusilla,Araneae,Linyphiidae,0,0,0,0,0,0,1,1.152648838,0
Pocadicnemis_juncea,Araneae,Linyphiidae,0,0,0,0,0,0,1,0.187498772,0
Bembidion_mannerheimii,Coleoptera,Carabidae,1,0,0,0,0,0,1,0.591108871,0
Myrmecina_graminicola,Hymenoptera,Formicidae,1,0,0,0,0,1,1,0.591108871,0
Astenus_lyonessius,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,0.735682084,0
Neoscona_adianta,Araneae,Araneidae,0,0,0,0,0,0,1,2.654911727,0
Pardosa_prativaga,Araneae,Lycosidae,0,0,0,0,0,0,1,2.654911727,0
Psyllobora_vigintiduopunctata,Coleoptera,Coccinellidae,0,0,0,0,0,0,1,1.007703722,0
Pterostichus_strenuus,Coleoptera,Carabidae,0,0,0,0,0,0,1,3.191038984,0
Tachinus_rufipes,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,2.068241512,0
Tachyporus_obtusus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,1.587678408,0
Theridion_impressum,Araneae,Theridiidae,0,0,0,0,0,0,1,1.152648838,0
Deraeocoris_ruber,Heteroptera,Miridae,0,0,0,0,0,0,1,4.994093905,0
Xanthogramma_pedissequum,Diptera,Syrphidae,0,0,0,0,0,1,1,1.30982411,0
Cryptocephalus_bilineatus,Coleoptera,Chrysomelidae,0,0,1,0,0,0,0,0.939698117,1
Cryptocephalus_fulvus,Coleoptera,Chrysomelidae,0,0,1,0,0,0,0,1.078671265,1
Aphanisticus_pusillus,Coleoptera,Buprestidae,1,0,1,0,0,0,0,0.213066117,1
Ulopa_trivia,Homoptera,Cicadellidae,1,0,1,0,0,0,0,0.752964675,1
Mycetoporus_piceolus,Coleoptera,Staphylinidae,0,0,0,0,0,0,0,1.014666392,1
Timarcha_goettingensis,Coleoptera,Chrysomelidae,1,0,0,1,0,0,0,36.1449695,1
Stenocarus_ruficornis,Coleoptera,Curculionidae,0,0,0,1,0,0,0,1.078671265,1
Cassida_vibex,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,2.068241512,1
Podops_inuncta,Heteroptera,Pentatomidae,0,0,0,1,0,0,0,3.051273818,1
Amara_equestris,Coleoptera,Carabidae,0,0,0,0,1,0,0,15.55500227,1
Ophonus_laticollis,Coleoptera,Carabidae,0,0,0,0,1,0,0,5.376640264,1
Stenobothrus_lineatus,Orthoptera,Acrididae,0,0,0,0,1,0,0,51.05943601,1
Pararge_aegeria,Lepidoptera,Satyridae,0,0,0,1,0,1,0,908.1000524,1
Lysandra_bellargus,Lepidoptera,Lycaenidae,1,0,1,0,0,1,0,338.6554862,1
Myrmecoris_gracilis,Heteroptera,Miridae,1,0,0,0,0,0,1,2.409365114,1
Zelotes_petrensis,Araneae,Gnaphosidae,1,0,0,0,0,0,1,4.994093905,1
Arctosa_perita,Araneae,Lycosidae,0,0,0,0,0,0,1,7.559483659,1
Pardosa_hortensis,Araneae,Lycosidae,0,0,0,0,0,0,1,1.152648838,1
Anthidium_manicatum,Hymenoptera,Megachilidae,0,0,0,0,1,1,0,44.75828024,0
Anthonomus_brunnipennis,Coleoptera,Curculionidae,0,0,1,0,0,0,0,0.431868469,0
Hypera_venusta,Coleoptera,Curculionidae,0,0,0,1,0,0,0,0.782322586,0
Longitarsus_parvulus,Coleoptera,Chrysomelidae,0,0,0,1,0,0,0,0.073647039,0
Aphrophora_alni,Homoptera,Cercopidae,0,0,0,0,1,0,0,11.11567103,0
Pieris_napi,Lepidoptera,Pieridae,0,0,0,1,0,1,0,692.987432,0
Vanessa_cardui,Lepidoptera,Nymphalidae,0,0,0,1,0,1,0,1929.626215,0
Anotylus_tetracarinatus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,0.258264046,0
Araneus_diadematus,Araneae,Araneidae,0,0,0,0,0,0,1,20.50003979,0
Araneus_quadratus,Araneae,Araneidae,0,0,0,0,0,0,1,51.05943601,0
Badister_bullatus,Coleoptera,Carabidae,0,0,0,0,0,0,1,2.530296939,0
Coccinella_septempunctata,Coleoptera,Coccinellidae,0,0,0,0,0,0,1,4.994093905,0
Lathrobium_fulvipenne,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,11.14635302,0
Zygiella_x-notata,Araneae,Araneidae,0,0,0,0,0,0,1,3.334694977,0
Megachile_willughbiella,Hymenoptera,Megachilidae,0,0,0,0,1,1,0,43.53698402,0
Osmia_leaiana,Hymenoptera,Megachilidae,0,0,0,1,0,1,0,21.54686249,0
Eristalis_intricarius,Diptera,Syrphidae,0,1,0,0,0,1,0,1.30982411,0
Eristalis_pertinax,Diptera,Syrphidae,0,1,0,0,0,1,0,4.809328662,0
Iassus_scutellaris,Homoptera,Cicadellidae,0,0,1,0,0,0,0,5.776794853,0
Strophosoma_melanogrammum,Coleoptera,Curculionidae,1,0,0,0,1,0,0,1.961614075,0
Gonepteryx_rhamni,Lepidoptera,Pieridae,0,0,0,1,0,1,0,1856.161765,0
Pterostichus_longicollis,Coleoptera,Carabidae,1,0,0,0,0,0,1,9.647509482,0
Pachygnatha_clercki,Araneae,Tetragnathidae,0,0,0,0,0,0,1,2.654911727,0
Quedius_fuliginosus,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,26.99944462,0
Rugilus_erichsoni,Coleoptera,Staphylinidae,0,0,0,0,0,0,1,1.30982411,0
Tachys_bistriatus,Coleoptera,Carabidae,0,0,0,0,0,0,1,0.122483056,0
Neoascia_sp.,Diptera,Syrphidae,0,1,0,0,0,1,0,5.376640264,0
