"","Species","Class","Order","Suborder","Family","Genus","Accession","Level"
"422","Bombus picipes","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_014737485.1","Scaffold"
"423","Bombus polaris","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_014737335.1","Scaffold"
"424","Bombus pratorum","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_930367275.1","Chromosome"
"425","Bombus pyrosoma","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCF_014825855.1","Chromosome"
"426","Bombus sibiricus","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_014737505.1","Scaffold"
"427","Bombus skorikovi","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_014737355.1","Scaffold"
"428","Bombus sonorus","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_029959005.1","Scaffold"
"429","Bombus soroeensis","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_014737365.1","Scaffold"
"430","Bombus superbus","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_014737385.1","Scaffold"
"431","Bombus sylvestris","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_911622165.1","Chromosome"
"432","Bombus sylvicola","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_019677175.1","Contig"
"433","Bombus terrestris","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCF_910591885.1","Chromosome"
"434","Bombus turneri","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_014825825.1","Chromosome"
"435","Bombus vancouverensis","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCF_011952275.1","Scaffold"
"436","Bombus vestalis","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_963556215.1","Chromosome"
"437","Bombus vosnesenskii","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_026744215.1","Scaffold"
"438","Bombus waltoni","Insecta","Hymenoptera","Apocrita","Apidae","Bombus","GCA_014737395.1","Scaffold"
"439","Bombylius discolor","Insecta","Diptera","Brachycera","Bombyliidae","Bombylius","GCA_939192795.1","Chromosome"
"440","Bombylius major","Insecta","Diptera","Brachycera","Bombyliidae","Bombylius","GCA_932526495.1","Chromosome"
"441","Bombyx huttoni","Insecta","Lepidoptera","Glossata","Bombycidae","Bombyx","GCA_002197625.1","Scaffold"
"442","Bombyx mandarina","Insecta","Lepidoptera","Glossata","Bombycidae","Bombyx","GCA_030267445.2","Chromosome"
"443","Bombyx mori","Insecta","Lepidoptera","Glossata","Bombycidae","Bombyx","GCF_014905235.1","Chromosome"
"444","Brachylomia viminalis","Insecta","Lepidoptera","Glossata","Noctuidae","Brachylomia","GCA_937001585.2","Chromosome"
"445","Brachynemurus nebulosus","Insecta","Neuroptera","Myrmeleontiformia","Myrmeleontidae","Brachynemurus","GCA_035578155.1","Scaffold"
"446","Brachyopa scutellaris","Insecta","Diptera","Brachycera","Syrphidae","Brachyopa","GCA_949775065.1","Chromosome"
"447","Brachypalpus laphriformis","Insecta","Diptera","Brachycera","Syrphidae","Brachypalpus","GCA_945910035.1","Chromosome"
"448","Brachyptera putata","Insecta","Plecoptera",NA,"Taeniopterygidae","Brachyptera","GCA_907164805.1","Chromosome"
"449","Brachypterus glaber","Insecta","Coleoptera","Polyphaga","Kateretidae","Brachypterus","GCA_958510825.1","Chromosome"
"450","Bradysia coprophila","Insecta","Diptera","Nematocera","Sciaridae","Bradysia","GCA_014529535.2","Chromosome"
"451","Bradysia odoriphaga","Insecta","Diptera","Nematocera","Sciaridae","Bradysia","GCA_016920775.1","Scaffold"
"452","Brassicogethes aeneus","Insecta","Coleoptera","Polyphaga","Nitidulidae","Brassicogethes","GCA_921294245.1","Chromosome"
"453","Brenthis daphne","Insecta","Lepidoptera","Glossata","Nymphalidae","Brenthis","GCA_947093115.1","Chromosome"
"454","Brenthis hecate","Insecta","Lepidoptera","Glossata","Nymphalidae","Brenthis","GCA_951806755.1","Chromosome"
"455","Brenthis ino","Insecta","Lepidoptera","Glossata","Nymphalidae","Brenthis","GCA_921882275.1","Chromosome"
"456","Bruchidius siliquastri","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Bruchidius","GCA_949316355.1","Chromosome"
"457","Brueelia nebulosa","Insecta","Phthiraptera","Ischnocera","Philopteridae","Brueelia","GCA_028293925.1","Scaffold"
"458","Buathra laborator","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Buathra","GCA_934046635.1","Chromosome"
"459","Bungalotis erythus","Insecta","Lepidoptera","Glossata","Hesperiidae","Bungalotis","GCA_018249455.1","Contig"
"460","Busseola fusca","Insecta","Lepidoptera","Glossata","Noctuidae","Busseola","GCA_007844875.1","Scaffold"
"461","Butleria elwesi","Insecta","Lepidoptera","Glossata","Hesperiidae","Butleria","GCA_018247915.1","Contig"
"462","Butleria flavomaculatus","Insecta","Lepidoptera","Glossata","Hesperiidae","Butleria","GCA_018249435.1","Contig"
"463","Byasa alcinous","Insecta","Lepidoptera","Glossata","Papilionidae","Byasa","GCA_018246375.1","Contig"
"464","Byasa hedistus","Insecta","Lepidoptera","Glossata","Papilionidae","Byasa","GCA_029286795.1","Contig"
"465","Cabera pusaria","Insecta","Lepidoptera","Glossata","Geometridae","Cabera","GCA_954871355.1","Chromosome"
"466","Cabirus procas","Insecta","Lepidoptera","Glossata","Hesperiidae","Cabirus","GCA_018251655.1","Contig"
"467","Caccobius schreberi","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Caccobius","GCA_033557405.1","Contig"
"468","Cacoxenus indagator","Insecta","Diptera","Brachycera","Drosophilidae","Cacoxenus","GCA_035041755.1","Contig"
"469","Cactoblastis cactorum","Insecta","Lepidoptera","Glossata","Pyralidae","Cactoblastis","GCA_020352625.1","Scaffold"
"470","Calameuta filiformis","Insecta","Hymenoptera",NA,"Cephidae","Calameuta","GCA_030142265.1","Scaffold"
"471","Calameuta filum","Insecta","Hymenoptera",NA,"Cephidae","Calameuta","GCA_031763695.1","Scaffold"
"472","Calameuta haemorrhoidalis","Insecta","Hymenoptera",NA,"Cephidae","Calameuta","GCA_031763665.1","Scaffold"
"473","Calameuta idolon","Insecta","Hymenoptera",NA,"Cephidae","Calameuta","GCA_030142285.1","Scaffold"
"474","Calameuta pallipes","Insecta","Hymenoptera",NA,"Cephidae","Calameuta","GCA_030142375.1","Scaffold"
"475","Calameuta pygmaea","Insecta","Hymenoptera",NA,"Cephidae","Calameuta","GCA_031762395.1","Scaffold"
"476","Calamotropha paludella","Insecta","Lepidoptera","Glossata","Crambidae","Calamotropha","GCA_927399485.1","Chromosome"
"477","Calephelis nemesis","Insecta","Lepidoptera","Glossata","Riodinidae","Calephelis","GCA_002245505.1","Scaffold"
"478","Calephelis perditalis","Insecta","Lepidoptera","Glossata","Riodinidae","Calephelis","GCA_018236665.1","Contig"
"479","Calephelis virginiensis","Insecta","Lepidoptera","Glossata","Riodinidae","Calephelis","GCA_002245475.1","Scaffold"
"480","Callimorpha dominula","Insecta","Lepidoptera","Glossata","Erebidae","Callimorpha","GCA_949752705.1","Chromosome"
"481","Calliopum simillimum","Insecta","Diptera","Brachycera","Lauxaniidae","Calliopum","GCA_951812925.1","Chromosome"
"482","Calliphora vicina","Insecta","Diptera","Brachycera","Calliphoridae","Calliphora","GCA_958450345.1","Chromosome"
"483","Calliphora vomitoria","Insecta","Diptera","Brachycera","Calliphoridae","Calliphora","GCA_942486065.2","Chromosome"
"484","Calliphoridae sp.","Insecta","Diptera","Brachycera","Calliphoridae",NA,"GCA_029304365.1","Scaffold"
"485","Calliscelio sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Calliscelio","GCA_022817625.1","Scaffold"
"486","Callitettix versicolor","Insecta","Hemiptera","Auchenorrhyncha","Cercopidae","Callitettix","GCA_022606455.1","Chromosome"
"487","Callosobruchus analis","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Callosobruchus","GCA_947858975.1","Contig"
"488","Callosobruchus chinensis","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Callosobruchus","GCA_944317955.1","Contig"
"489","Callosobruchus maculatus","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Callosobruchus","GCA_900659725.1","Contig"
"490","Calopteryx splendens","Insecta","Odonata","Zygoptera","Calopterygidae","Calopteryx","GCA_002093875.1","Scaffold"
"491","Calosoma granatense","Insecta","Coleoptera","Adephaga","Carabidae","Calosoma","GCA_022063505.1","Scaffold"
"492","Calotelea sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Calotelea","GCA_022817605.1","Scaffold"
"493","Calpodes ethlius","Insecta","Lepidoptera","Glossata","Hesperiidae","Calpodes","GCA_018251375.1","Contig"
"494","Caltoris sirius","Insecta","Lepidoptera","Glossata","Hesperiidae","Caltoris","GCA_018250535.1","Contig"
"495","Calycopis cecrops","Insecta","Lepidoptera","Glossata","Lycaenidae","Calycopis","GCA_018232465.1","Contig"
"496","Calydna sturnula","Insecta","Lepidoptera","Glossata","Riodinidae","Calydna","GCA_018237325.1","Contig"
"497","Campaea margaritaria","Insecta","Lepidoptera","Glossata","Geometridae","Campaea","GCA_912999815.1","Chromosome"
"498","Campoletis raptor","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Campoletis","GCA_948107755.1","Chromosome"
"499","Campoletis sonorensis","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Campoletis","GCA_013761285.1","Scaffold"
"500","Camponotus fellah","Insecta","Hymenoptera","Apocrita","Formicidae","Camponotus","GCA_030586385.1","Contig"
"501","Camponotus floridanus","Insecta","Hymenoptera","Apocrita","Formicidae","Camponotus","GCF_000147175.1","Scaffold"
"502","Camponotus pennsylvanicus","Insecta","Hymenoptera","Apocrita","Formicidae","Camponotus","GCA_023638705.1","Contig"
"503","Camponotus vicinus","Insecta","Hymenoptera","Apocrita","Formicidae","Camponotus","GCA_025532165.1","Scaffold"
"504","Campopleginae sp. 14b","Insecta","Hymenoptera","Apocrita","Ichneumonidae",NA,"GCA_030522525.1","Scaffold"
"505","Camptogramma bilineatum","Insecta","Lepidoptera","Glossata","Geometridae","Camptogramma","GCA_958496255.1","Chromosome"
"506","Camptopleura auxo","Insecta","Lepidoptera","Glossata","Hesperiidae","Camptopleura","GCA_018251035.1","Contig"
"507","Cantharis flavilabris","Insecta","Coleoptera","Polyphaga","Cantharidae","Cantharis","GCA_949152465.1","Chromosome"
"508","Cantharis lateralis","Insecta","Coleoptera","Polyphaga","Cantharidae","Cantharis","GCA_963170105.1","Chromosome"
"509","Cantharis nigra","Insecta","Coleoptera","Polyphaga","Cantharidae","Cantharis","GCA_958510845.1","Chromosome"
"510","Cantharis rufa","Insecta","Coleoptera","Polyphaga","Cantharidae","Cantharis","GCA_947369205.1","Chromosome"
"511","Cantharis rustica","Insecta","Coleoptera","Polyphaga","Cantharidae","Cantharis","GCA_911387805.1","Chromosome"
"512","Carabus problematicus","Insecta","Coleoptera","Adephaga","Carabidae","Carabus","GCA_963422195.1","Chromosome"
"513","Caradrina clavipalpis","Insecta","Lepidoptera","Glossata","Noctuidae","Caradrina","GCA_932526535.1","Chromosome"
"514","Caradrina kadenii","Insecta","Lepidoptera","Glossata","Noctuidae","Caradrina","GCA_947462355.1","Chromosome"
"515","Carcharodus alceae","Insecta","Lepidoptera","Glossata","Hesperiidae","Carcharodus","GCA_018250545.1","Contig"
"516","Carcharodus tripolina","Insecta","Lepidoptera","Glossata","Hesperiidae","Carcharodus","GCA_018231345.1","Contig"
"517","Carcina quercana","Insecta","Lepidoptera","Glossata","Depressariidae","Carcina","GCA_910589575.1","Chromosome"
"518","Cardiocondyla obscurior","Insecta","Hymenoptera","Apocrita","Formicidae","Cardiocondyla","GCA_019399895.1","Scaffold"
"519","Caria ino","Insecta","Lepidoptera","Glossata","Riodinidae","Caria","GCA_018237365.1","Contig"
"520","Carpatolechia fugitivella","Insecta","Lepidoptera","Glossata","Gelechiidae","Carpatolechia","GCA_951230895.1","Chromosome"
"521","Carposina sasakii","Insecta","Lepidoptera","Glossata","Carposinidae","Carposina","GCA_014607495.2","Chromosome"
"522","Carterocephalus mandan","Insecta","Lepidoptera","Glossata","Hesperiidae","Carterocephalus","GCA_018250895.1","Contig"
"523","Carterocephalus palaemon","Insecta","Lepidoptera","Glossata","Hesperiidae","Carterocephalus","GCA_944567765.1","Chromosome"
"524","Cartodere bifasciata","Insecta","Coleoptera","Polyphaga","Latridiidae","Cartodere","GCA_963920755.1","Chromosome"
"525","Carystus phorcus","Insecta","Lepidoptera","Glossata","Hesperiidae","Carystus","GCA_018248895.1","Contig"
"526","Cataglyphis hispanica","Insecta","Hymenoptera","Apocrita","Formicidae","Cataglyphis","GCA_021464445.1","Chromosome"
"527","Cataglyphis niger","Insecta","Hymenoptera","Apocrita","Formicidae","Cataglyphis","GCA_004329405.1","Scaffold"
"528","Catocala fraxini","Insecta","Lepidoptera","Glossata","Erebidae","Catocala","GCA_930367265.1","Chromosome"
"529","Catocala nupta","Insecta","Lepidoptera","Glossata","Erebidae","Catocala","GCA_963675205.1","Chromosome"
"530","Catocala sponsa","Insecta","Lepidoptera","Glossata","Erebidae","Catocala","GCA_963564715.1","Chromosome"
"531","Catonia carolina","Insecta","Hemiptera","Auchenorrhyncha","Achilidae","Catonia","GCA_035578175.1","Scaffold"
"532","Catoptria pinella","Insecta","Lepidoptera","Glossata","Crambidae","Catoptria","GCA_963556745.1","Chromosome"
"533","Catotricha subobsoleta","Insecta","Diptera","Nematocera","Cecidomyiidae","Catotricha","GCA_011634745.2","Scaffold"
"534","Cecidostiba fungosa","Insecta","Hymenoptera","Apocrita","Pteromalidae","Cecidostiba","GCA_900474305.1","Scaffold"
"535","Cecidostiba semifascia","Insecta","Hymenoptera","Apocrita","Pteromalidae","Cecidostiba","GCA_900474235.1","Scaffold"
"536","Cecropterus acanthopoda","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018249395.1","Contig"
"537","Cecropterus albociliatus","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018250195.1","Contig"
"538","Cecropterus athesis","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018247815.1","Contig"
"539","Cecropterus bathyllus","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018251575.1","Contig"
"540","Cecropterus casica","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018249335.1","Contig"
"541","Cecropterus confusis","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018251515.1","Contig"
"542","Cecropterus dorantes","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018249915.1","Contig"
"543","Cecropterus evenus","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018249275.1","Contig"
"544","Cecropterus lyciades","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_002930495.1","Scaffold"
"545","Cecropterus phalaecus","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018250255.1","Contig"
"546","Cecropterus rinta","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018249255.1","Contig"
"547","Cecropterus takuta","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018247785.1","Contig"
"548","Cecropterus tehuacana","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018249375.1","Contig"
"549","Cecropterus toxeus","Insecta","Lepidoptera","Glossata","Hesperiidae","Cecropterus","GCA_018249875.1","Contig"
"550","Celaenorrhinus cf. opalinus JZ-2019","Insecta","Lepidoptera","Glossata","Hesperiidae","Celaenorrhinus","GCA_018245215.1","Contig"
"551","Celaenorrhinus ficulnea","Insecta","Lepidoptera","Glossata","Hesperiidae","Celaenorrhinus","GCA_018246055.1","Contig"
"552","Celaenorrhinus patula","Insecta","Lepidoptera","Glossata","Hesperiidae","Celaenorrhinus","GCA_018245075.1","Contig"
"553","Celastrina argiolus","Insecta","Lepidoptera","Glossata","Lycaenidae","Celastrina","GCA_905187575.1","Chromosome"
"554","Cephise aelius","Insecta","Lepidoptera","Glossata","Hesperiidae","Cephise","GCA_018251135.1","Contig"
"555","Cephonodes hylas","Insecta","Lepidoptera","Glossata","Sphingidae","Cephonodes","GCA_030295005.1","Contig"
"556","Cephus brachycercus","Insecta","Hymenoptera",NA,"Cephidae","Cephus","GCA_030142315.1","Scaffold"
"557","Cephus cinctus","Insecta","Hymenoptera",NA,"Cephidae","Cephus","GCF_000341935.1","Scaffold"
"558","Cephus fumipennis","Insecta","Hymenoptera",NA,"Cephidae","Cephus","GCA_030142355.1","Scaffold"
"559","Cephus nigrinus","Insecta","Hymenoptera",NA,"Cephidae","Cephus","GCA_030142395.1","Scaffold"
"560","Cephus parvus","Insecta","Hymenoptera",NA,"Cephidae","Cephus","GCA_030142435.1","Scaffold"
"561","Cephus pulcher","Insecta","Hymenoptera",NA,"Cephidae","Cephus","GCA_030142455.1","Scaffold"
"562","Cephus rjabovi","Insecta","Hymenoptera",NA,"Cephidae","Cephus","GCA_030264185.1","Scaffold"
"563","Cephus runcator","Insecta","Hymenoptera",NA,"Cephidae","Cephus","GCA_030142495.1","Scaffold"
"564","Cephus sareptanus","Insecta","Hymenoptera",NA,"Cephidae","Cephus","GCA_030142515.1","Scaffold"
"565","Cephus spinipes","Insecta","Hymenoptera",NA,"Cephidae","Cephus","GCA_030264395.1","Scaffold"
"566","Ceraclea dissimilis","Insecta","Trichoptera","Integripalpia","Leptoceridae","Ceraclea","GCA_963576895.1","Chromosome"
"567","Ceramica pisi","Insecta","Lepidoptera","Glossata","Noctuidae","Ceramica","GCA_963859965.1","Chromosome"
"568","Cerastis leucographa","Insecta","Lepidoptera","Glossata","Noctuidae","Cerastis","GCA_963082945.1","Chromosome"
"569","Cerastis rubricosa","Insecta","Lepidoptera","Glossata","Noctuidae","Cerastis","GCA_949152445.1","Chromosome"
"570","Ceratina australensis","Insecta","Hymenoptera","Apocrita","Apidae","Ceratina","GCA_002892365.1","Scaffold"
"571","Ceratina calcarata","Insecta","Hymenoptera","Apocrita","Apidae","Ceratina","GCA_026724355.1","Scaffold"
"572","Ceratina japonica","Insecta","Hymenoptera","Apocrita","Apidae","Ceratina","GCA_019453355.1","Scaffold"
"573","Ceratitis capitata","Insecta","Diptera","Brachycera","Tephritidae","Ceratitis","GCF_000347755.1","Scaffold"
"574","Ceratosolen corneri","Insecta","Hymenoptera","Apocrita","Agaonidae","Ceratosolen","GCA_030522565.1","Scaffold"
"575","Ceratosolen fusciceps","Insecta","Hymenoptera","Apocrita","Agaonidae","Ceratosolen","GCA_018883505.1","Contig"
"576","Ceratosolen solmsi","Insecta","Hymenoptera","Apocrita","Agaonidae","Ceratosolen","GCF_000503995.2","Scaffold"
"577","Ceratoteleas bidentatus","Insecta","Hymenoptera","Apocrita","Scelionidae","Ceratoteleas","GCA_022817645.1","Scaffold"
"578","Cerceris rybyensis","Insecta","Hymenoptera","Apocrita","Crabronidae","Cerceris","GCA_910591515.1","Chromosome"
"579","Ceriagrion tenellum","Insecta","Odonata","Zygoptera","Coenagrionidae","Ceriagrion","GCA_963169105.1","Chromosome"
"580","Ceroptres masudai","Insecta","Hymenoptera","Apocrita","Cynipidae","Ceroptres","GCA_913698375.1","Contig"
"581","Cetonia aurata","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Cetonia","GCA_949128085.1","Chromosome"
"582","Ceutorhynchus assimilis","Insecta","Coleoptera","Polyphaga","Curculionidae","Ceutorhynchus","GCA_917834065.1","Chromosome"
"583","Chaetocneme critomedia","Insecta","Lepidoptera","Glossata","Hesperiidae","Chaetocneme","GCA_018249595.1","Contig"
"584","Chaetogeoica ovagalla","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Chaetogeoica","GCA_032441825.1","Chromosome"
"585","Chaitophorus viminalis","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Chaitophorus","GCA_025469195.1","Scaffold"
"586","Chalcidoidea sp. 12a-bis","Insecta","Hymenoptera","Apocrita",NA,NA,"GCA_030551275.1","Scaffold"
"587","Chalcis sispes","Insecta","Hymenoptera","Apocrita","Chalcididae","Chalcis","GCA_949987625.1","Chromosome"
"588","Chalcosyrphus nemorum","Insecta","Diptera","Brachycera","Syrphidae","Chalcosyrphus","GCA_949716465.1","Chromosome"
"589","Chamunda chamunda","Insecta","Lepidoptera","Glossata","Hesperiidae","Chamunda","GCA_018247515.1","Contig"
"590","Chaoborus trivitattus","Insecta","Diptera","Nematocera","Chaoboridae","Chaoborus","GCA_001014815.1","Scaffold"
"591","Charanyca ferruginea","Insecta","Lepidoptera","Glossata","Noctuidae","Charanyca","GCA_947361185.1","Chromosome"
"592","Charaxes varanes","Insecta","Lepidoptera","Glossata","Nymphalidae","Charaxes","GCA_018230225.1","Contig"
"593","Charidia lucaria","Insecta","Lepidoptera","Glossata","Hesperiidae","Charidia","GCA_018247155.1","Contig"
"594","Cheilosia grossa","Insecta","Diptera","Brachycera","Syrphidae","Cheilosia","GCA_963082955.1","Chromosome"
"595","Cheilosia impressa","Insecta","Diptera","Brachycera","Syrphidae","Cheilosia","GCA_948293265.1","Chromosome"
"596","Cheilosia pagana","Insecta","Diptera","Brachycera","Syrphidae","Cheilosia","GCA_936431705.1","Chromosome"
"597","Cheilosia scutellata","Insecta","Diptera","Brachycera","Syrphidae","Cheilosia","GCA_955612985.1","Chromosome"
"598","Cheilosia soror","Insecta","Diptera","Brachycera","Syrphidae","Cheilosia","GCA_948107745.1","Chromosome"
"599","Cheilosia urbana","Insecta","Diptera","Brachycera","Syrphidae","Cheilosia","GCA_946477585.1","Chromosome"
"600","Cheilosia variabilis","Insecta","Diptera","Brachycera","Syrphidae","Cheilosia","GCA_951230905.1","Chromosome"
"601","Cheilosia vernalis","Insecta","Diptera","Brachycera","Syrphidae","Cheilosia","GCA_949126925.1","Chromosome"
"602","Cheilosia vulpina","Insecta","Diptera","Brachycera","Syrphidae","Cheilosia","GCA_916610125.1","Chromosome"
"603","Chelonus formosanus","Insecta","Hymenoptera","Apocrita","Braconidae","Chelonus","GCA_028641665.1","Chromosome"
"604","Chelonus insularis","Insecta","Hymenoptera","Apocrita","Braconidae","Chelonus","GCF_013357705.1","Scaffold"
"605","Chesias legatella","Insecta","Lepidoptera","Glossata","Geometridae","Chesias","GCA_947359385.1","Chromosome"
"606","Cheumatopsyche charites","Insecta","Trichoptera","Annulipalpia","Hydropsychidae","Cheumatopsyche","GCA_024721215.1","Chromosome"
"607","Chilo suppressalis","Insecta","Lepidoptera","Glossata","Crambidae","Chilo","GCA_902850365.1","Chromosome"
"608","Chioides albofasciatus","Insecta","Lepidoptera","Glossata","Hesperiidae","Chioides","GCA_018248315.1","Contig"
"609","Chioides vintra","Insecta","Lepidoptera","Glossata","Hesperiidae","Chioides","GCA_018248395.1","Contig"
"610","Chiomara georgina","Insecta","Lepidoptera","Glossata","Hesperiidae","Chiomara","GCA_018248655.1","Contig"
"611","Chironomidae sp.","Insecta","Diptera","Nematocera","Chironomidae",NA,"GCA_023347075.1","Contig"
"612","Chironomus riparius","Insecta","Diptera","Nematocera","Chironomidae","Chironomus","GCA_917627325.2","Chromosome"
"613","Chironomus striatipennis","Insecta","Diptera","Nematocera","Chironomidae","Chironomus","GCA_026123125.1","Chromosome"
"614","Chironomus tentans","Insecta","Diptera","Nematocera","Chironomidae","Chironomus","GCA_963573255.1","Chromosome"
"615","Chironomus tepperi","Insecta","Diptera","Nematocera","Chironomidae","Chironomus","GCA_022539635.2","Scaffold"
"616","Chloroclysta siterata","Insecta","Lepidoptera","Glossata","Geometridae","Chloroclysta","GCA_932294275.1","Chromosome"
"617","Chloroclystis v-ata","Insecta","Lepidoptera","Glossata","Geometridae","Chloroclystis","GCA_963691955.1","Chromosome"
"618","Chlorops oryzae","Insecta","Diptera","Brachycera","Chloropidae","Chlorops","GCA_020466095.1","Chromosome"
"619","Choaspes benjaminii","Insecta","Lepidoptera","Glossata","Hesperiidae","Choaspes","GCA_018248235.1","Contig"
"620","Choranthus vitellius","Insecta","Lepidoptera","Glossata","Hesperiidae","Choranthus","GCA_018251395.1","Contig"
"621","Choreutis nemorana","Insecta","Lepidoptera","Glossata","Choreutidae","Choreutis","GCA_949316135.1","Chromosome"
"622","Chorisops tibialis","Insecta","Diptera","Brachycera","Stratiomyidae","Chorisops","GCA_963669355.1","Chromosome"
"623","Choristoneura fumiferana","Insecta","Lepidoptera","Glossata","Tortricidae","Choristoneura","GCA_025370935.1","Chromosome"
"624","Chouioia cunea","Insecta","Hymenoptera","Apocrita","Eulophidae","Chouioia","GCA_030064505.1","Scaffold"
"625","Chromoteleia sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Chromoteleia","GCA_022817565.1","Scaffold"
"626","Chrysina resplendens","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Chrysina","GCA_010091895.2","Scaffold"
"627","Chrysodeixis includens","Insecta","Lepidoptera","Glossata","Noctuidae","Chrysodeixis","GCA_941860345.1","Chromosome"
"628","Chrysolina americana","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Chrysolina","GCA_958502065.1","Chromosome"
"629","Chrysolina haemoptera","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Chrysolina","GCA_958298965.1","Chromosome"
"630","Chrysolina oricalcia","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Chrysolina","GCA_944452925.1","Chromosome"
"631","Chrysomela aeneicollis","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Chrysomela","GCA_027562985.1","Chromosome"
"632","Chrysomya rufifacies","Insecta","Diptera","Brachycera","Calliphoridae","Chrysomya","GCA_014858665.1","Scaffold"
"633","Chrysopa pallens","Insecta","Neuroptera","Hemerobiiformia","Chrysopidae","Chrysopa","GCA_020423425.1","Chromosome"
"634","Chrysoperla carnea","Insecta","Neuroptera","Hemerobiiformia","Chrysopidae","Chrysoperla","GCF_905475395.1","Chromosome"
"635","Chrysoteuchia culmella","Insecta","Lepidoptera","Glossata","Crambidae","Chrysoteuchia","GCA_910589605.1","Chromosome"
"636","Chrysotoxum bicinctum","Insecta","Diptera","Brachycera","Syrphidae","Chrysotoxum","GCA_911387755.1","Chromosome"
"637","Chymomyza caudatula","Insecta","Diptera","Brachycera","Drosophilidae","Chymomyza","GCA_035041775.1","Contig"
"638","Chymomyza costata","Insecta","Diptera","Brachycera","Drosophilidae","Chymomyza","GCA_018150985.1","Contig"
"639","Chymomyza fuscimana","Insecta","Diptera","Brachycera","Drosophilidae","Chymomyza","GCA_949987675.1","Chromosome"
"640","Chymomyza procnemis","Insecta","Diptera","Brachycera","Drosophilidae","Chymomyza","GCA_035046065.1","Contig"
"641","Cimex hemipterus","Insecta","Hemiptera","Heteroptera","Cimicidae","Cimex","GCA_001663875.1","Contig"
"642","Cimex lectularius","Insecta","Hemiptera","Heteroptera","Cimicidae","Cimex","GCA_001460545.1","Scaffold"
"643","Cinara cedri","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Cinara","GCA_902439185.1","Scaffold"
"644","Cirrula hians","Insecta","Diptera","Brachycera","Ephydridae","Cirrula","GCA_001015075.1","Scaffold"
"645","Cistogaster globosa","Insecta","Diptera","Brachycera","Tachinidae","Cistogaster","GCA_937654795.1","Chromosome"
"646","Clepsis dumicolana","Insecta","Lepidoptera","Glossata","Tortricidae","Clepsis","GCA_963691665.1","Chromosome"
"647","Clistopyga incitator","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Clistopyga","GCA_947507545.1","Chromosome"
"648","Clitarchus hookeri","Insecta","Phasmatodea","Verophasmatodea","Phasmatidae","Clitarchus","GCA_002778355.1","Scaffold"
